country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,147473,6736.0,98073.0,42664.0,1124.0,3699,169.0,707244.0,17739.0,39869084
Albania,Europe,133081,2457.0,130222.0,402.0,3.0,46299,855.0,916777.0,318945.0,2874408
Algeria,Africa,171392,4254.0,115276.0,51862.0,47.0,3834,95.0,230861.0,5164.0,44701619
Andorra,Europe,14678,128.0,14210.0,340.0,,189643,1654.0,193595.0,2501292.0,77398
Angola,Africa,42646,1008.0,36708.0,4930.0,8.0,1256,30.0,681443.0,20065.0,33961015
Anguilla,North America,113,,111.0,2.0,,7460,,31656.0,2089919.0,15147
Antigua And Barbuda,North America,1303,43.0,1235.0,25.0,3.0,13188,435.0,17147.0,173549.0,98802
Argentina,South America,4929764,105721.0,4569552.0,254491.0,3976.0,108009,2316.0,19423553.0,425562.0,45642150
Armenia,Asia,230110,4614.0,219864.0,5632.0,,77499,1554.0,1340258.0,451385.0,2969212
Aruba,North America,11730,110.0,11160.0,460.0,14.0,109367,1026.0,177885.0,1658540.0,107254
Australia,Australia/Oceania,34130,924.0,29926.0,3280.0,59.0,1322,36.0,25012386.0,968790.0,25818165
Austria,Europe,659056,10737.0,643027.0,5292.0,32.0,72729,1185.0,66567305.0,7345969.0,9061746
Azerbaijan,Asia,343849,5023.0,332926.0,5900.0,,33587,491.0,4034340.0,394073.0,10237543
Bahamas,North America,14840,287.0,12606.0,1947.0,11.0,37353,722.0,119868.0,301716.0,397288
Bahrain,Asia,269186,1384.0,266796.0,1006.0,4.0,152526,784.0,5447238.0,3086513.0,1764852
Bangladesh,Asia,1249484,20685.0,1078212.0,150587.0,1349.0,7506,124.0,7740894.0,46504.0,166455064
Barbados,North America,4390,48.0,4229.0,113.0,,15256,167.0,217703.0,756559.0,287754
Belarus,Europe,446040,3454.0,440200.0,2386.0,,47220,366.0,7294282.0,772211.0,9445972
Belgium,Europe,1124715,25241.0,1058072.0,41402.0,93.0,96592,2168.0,17186118.0,1475968.0,11643962
Belize,North America,14163,337.0,13420.0,406.0,2.0,34937,831.0,183918.0,453691.0,405382
Benin,Africa,8394,108.0,8136.0,150.0,5.0,673,9.0,604310.0,48486.0,12463627
Bermuda,North America,2553,33.0,2495.0,25.0,,41158,532.0,377525.0,6086168.0,62030
Bhutan,Asia,2515,2.0,2374.0,139.0,,3221,3.0,798573.0,1022829.0,780749
Bolivia,South America,472813,17806.0,407072.0,47935.0,200.0,39919,1503.0,2063100.0,174186.0,11844236
Bosnia And Herzegovina,Europe,205655,9687.0,189369.0,6599.0,,63108,2973.0,1071650.0,328849.0,3258795
Botswana,Africa,106690,1569.0,95323.0,9798.0,1.0,44406,653.0,1470906.0,612213.0,2402605
Brazil,South America,19917855,556370.0,18619542.0,741943.0,8318.0,92993,2598.0,55034721.0,256948.0,214186368
British Virgin Islands,North America,2500,31.0,1914.0,555.0,27.0,82107,1018.0,73138.0,2402063.0,30448
Brunei Darussalam,Asia,337,3.0,280.0,54.0,,762,7.0,152986.0,346132.0,441987
Bulgaria,Europe,424872,18211.0,398536.0,8125.0,75.0,61647,2642.0,3612178.0,524113.0,6891984
Burkina Faso,Africa,13573,169.0,13369.0,35.0,,631,8.0,203620.0,9463.0,21517590
Burundi,Africa,7080,9.0,773.0,6298.0,,577,,345742.0,28178.0,12270120
Cabo Verde,Africa,33791,298.0,33011.0,482.0,23.0,60075,530.0,198849.0,353519.0,562484
Cambodia,Asia,77243,1397.0,69996.0,5850.0,,4552,82.0,1809439.0,106640.0,16967753
